T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-06-15,575.6,589.55,534.28,589.55,34.51,19599.38,5.27562238,0.01654,0.01739999,0.01654,0.016919999999999998,312.38567785,0.25
2014-06-16,589.55,612.91,574.18,597.14,10.67,6387.44,8.09752786,0.0164942,0.01686008,0.0160601,0.01670572,495.65137018,0.25
2014-06-17,597.14,608.98,586.25,608.97,2.8,1677.67,5.65562679,0.01555,0.0166,0.0155,0.01621221,353.4448785,0.25
2014-06-18,608.97,625.0,603.41,605.89,10.0,6101.71,2.95084452,0.01592,0.01639999,0.01555,0.015555000000000001,186.81238303,0.25
2014-06-19,605.89,627.05,594.12,595.93,8.41,5107.52,16.36182745,0.0155618,0.023,0.01555351,0.01592,972.91465942,0.0
2014-06-20,595.93,602.79,578.51,593.9,5.81,3433.13,5.59131678,0.0165,0.016870510000000002,0.0158,0.01661883,341.36193834,0.0
2014-06-21,593.9,598.5,581.09,590.59,0.7642,446.87,3.28854813,0.01627801,0.01682944,0.01611104,0.01650043,200.19168087,0.0
2014-06-22,590.59,602.33,584.75,596.24,8.34,4973.51,5.73803103,0.016050000000000002,0.017071,0.016050000000000002,0.01631001,351.6359748,0.0
2014-06-23,596.24,596.24,584.42,584.42,2.64,1553.94,4.38901392,0.01640803,0.01705117,0.016054099999999998,0.01608601,267.91727331,0.0
2014-06-24,584.42,595.23,576.13,586.15,2.85,1662.72,3.77788652,0.016513,0.016557,0.016073,0.01640803,231.6453121,0.0
2014-06-25,586.15,586.15,557.43,564.42,29.23,16692.55,10.89393936,0.01643799,0.0173,0.01620002,0.016513,651.23794531,0.0
2014-06-26,564.42,583.26,564.42,583.26,2.76,1586.73,4.63724177,0.01585099,0.01637299,0.015632,0.016256,287.83980227,0.0
2014-06-27,583.26,600.0,575.35,597.69,21.78,12721.51,3.05162164,0.01541802,0.016,0.01541627,0.0157,195.2956006,0.0
2014-06-28,597.69,604.38,590.76,596.12,4.14,2471.56,1.88129214,0.0153,0.01555199,0.015130000000000001,0.01555199,122.24872724,0.0
2014-06-29,596.12,602.3,589.76,589.76,0.9983,594.22,5.46714359,0.0149,0.01545798,0.0149,0.0153,360.98665178,0.0
2014-06-30,589.76,645.0,587.72,637.07,18.67,11649.96,11.37929365,0.01370002,0.01495699,0.01360001,0.014785,798.09710215,0.0
